utt_id,allosaurus-eng,atc-w2v2,atc-xlsr,base.en,canary-1b,crisperwhisper,distil-large-v3,distil-small.en,espeak-phone,hubert-large,jasper,moonshine-base,parakeet,quartznet,qwen2audio,seamless-m4t-v2,small.en,sphinx-enus,tiny,tiny.en,vosk-small,w2v2-large-lv60,w2v2-swbd,w2v2-xlsr-cv,wav2vec2-base,wav2vec2-robust,wavlm-large,xlsr-1b-cv
spkr109_1,0.7,0.3,0.7,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,1.0,0.2,0.2,0.5,0.4,0.5,0.2,0.2,0.2,0.2,0.2
spkr109_10,0.5882352941176471,0.0,0.8235294117647058,0.0,0.0,0.0,0.0,0.0,0.11764705882352941,0.0,0.058823529411764705,0.0,0.0,0.058823529411764705,0.0,0.0,0.0,0.6470588235294118,0.0,0.0,0.0,0.0,0.11764705882352941,0.0,0.0,0.0,0.0,0.0
spkr109_12,0.7058823529411765,0.4117647058823529,0.6470588235294118,0.058823529411764705,0.0,0.0,0.0,0.23529411764705882,0.5882352941176471,0.0,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.0,0.7058823529411765,0.058823529411764705,0.058823529411764705,0.17647058823529413,0.5882352941176471,0.35294117647058826,0.0,0.47058823529411764,0.11764705882352941,0.11764705882352941,0.23529411764705882
spkr109_13,1.0,0.8235294117647058,0.5294117647058824,0.47058823529411764,0.0,0.11764705882352941,0.29411764705882354,0.17647058823529413,0.875,0.47058823529411764,0.23529411764705882,0.5294117647058824,0.0,0.17647058823529413,0.0,0.4117647058823529,0.11764705882352941,0.8235294117647058,0.5294117647058824,0.5294117647058824,0.5294117647058824,0.5294117647058824,0.5882352941176471,0.17647058823529413,0.35294117647058826,0.35294117647058826,0.47058823529411764,0.23529411764705882
spkr109_14,0.6470588235294118,0.7647058823529411,0.6470588235294118,0.0,0.0,0.0,0.058823529411764705,0.17647058823529413,0.23529411764705882,0.058823529411764705,0.058823529411764705,0.0,0.0,0.11764705882352941,0.0,0.0,0.17647058823529413,0.23529411764705882,0.17647058823529413,0.29411764705882354,0.11764705882352941,0.11764705882352941,0.11764705882352941,0.11764705882352941,0.11764705882352941,0.058823529411764705,0.058823529411764705,0.17647058823529413
spkr109_15,0.7058823529411765,0.35294117647058826,0.6470588235294118,0.5882352941176471,0.0,0.0,0.058823529411764705,0.29411764705882354,0.23529411764705882,0.0,0.4117647058823529,0.11764705882352941,0.0,0.47058823529411764,0.0,0.0,0.0,0.8823529411764706,0.47058823529411764,0.5294117647058824,0.35294117647058826,0.0,0.17647058823529413,0.0,0.35294117647058826,0.0,0.23529411764705882,0.0
spkr109_18,0.7692307692307693,0.6538461538461539,0.5769230769230769,0.038461538461538464,0.0,0.0,0.038461538461538464,0.15384615384615385,0.5384615384615384,0.19230769230769232,0.11538461538461539,0.07692307692307693,0.0,0.19230769230769232,0.038461538461538464,0.0,0.038461538461538464,0.5769230769230769,0.038461538461538464,0.19230769230769232,0.038461538461538464,0.34615384615384615,0.2692307692307692,0.11538461538461539,0.3076923076923077,0.19230769230769232,0.46153846153846156,0.11538461538461539
spkr109_19,0.45161290322580644,0.41935483870967744,0.6129032258064516,0.0,0.16129032258064516,0.0,0.0,0.0,0.25806451612903225,0.12903225806451613,0.1935483870967742,0.0,0.22580645161290322,0.16129032258064516,0.0,0.0,0.0,0.2903225806451613,0.0,0.0,0.2903225806451613,0.12903225806451613,0.1935483870967742,0.16129032258064516,0.25806451612903225,0.16129032258064516,0.1935483870967742,0.16129032258064516
spkr109_2,0.9090909090909091,0.6363636363636364,0.6363636363636364,0.2727272727272727,0.0,0.0,0.18181818181818182,0.18181818181818182,0.9090909090909091,0.0,0.09090909090909091,0.45454545454545453,0.0,0.36363636363636365,0.6363636363636364,0.0,0.0,0.8181818181818182,0.5454545454545454,0.5454545454545454,0.6363636363636364,0.6363636363636364,0.5454545454545454,0.18181818181818182,0.5454545454545454,0.18181818181818182,0.45454545454545453,0.36363636363636365
spkr109_20,0.75,0.4230769230769231,0.5,0.0,0.0,0.0,0.0,0.15384615384615385,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46153846153846156,0.0,0.0,0.0,0.0,0.0,0.0,0.19230769230769232,0.0,0.038461538461538464,0.0
spkr109_21,0.56,0.37037037037037035,0.2962962962962963,0.0,0.037037037037037035,0.0,0.037037037037037035,0.037037037037037035,0.36,0.1111111111111111,0.25925925925925924,0.037037037037037035,0.0,0.1111111111111111,0.0,0.0,0.0,0.5185185185185185,0.1111111111111111,0.0,0.037037037037037035,0.18518518518518517,0.1111111111111111,0.1111111111111111,0.2962962962962963,0.07407407407407407,0.18518518518518517,0.2222222222222222
spkr109_22,0.4444444444444444,0.05555555555555555,0.5555555555555556,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2777777777777778,0.0,0.0,0.1111111111111111,0.0,0.05555555555555555,0.0,0.0,0.0,0.0,0.0
spkr109_23,0.6,0.2,0.3,0.1,0.0,0.0,0.0,0.15,0.2,0.05,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.2,0.15,0.0,0.0,0.0,0.1,0.15,0.0,0.0,0.05,0.05
