utt_id,allosaurus-eng,atc-w2v2,atc-xlsr,base.en,canary-1b,crisperwhisper,distil-large-v3,distil-small.en,espeak-phone,hubert-large,jasper,moonshine-base,parakeet,quartznet,qwen2audio,seamless-m4t-v2,small.en,sphinx-enus,tiny,tiny.en,vosk-small,w2v2-large-lv60,w2v2-swbd,w2v2-xlsr-cv,wav2vec2-base,wav2vec2-robust,wavlm-large,xlsr-1b-cv
ALL_137_SPA_HT2_S056,0.7777777777777778,0.1111111111111111,0.5555555555555556,0.05555555555555555,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.05555555555555555,0.0,0.05555555555555555,0.0,0.0,0.0,0.2222222222222222,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.05555555555555555
ALL_137_SPA_HT2_S057,0.4117647058823529,0.11764705882352941,0.5882352941176471,0.0,0.0,0.0,0.11764705882352941,0.11764705882352941,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11764705882352941,0.6470588235294118,0.11764705882352941,0.11764705882352941,0.11764705882352941,0.0,0.0,0.0,0.0,0.0,0.11764705882352941,0.11764705882352941
ALL_137_SPA_HT2_S058,0.47058823529411764,0.0,0.47058823529411764,0.0,0.0,0.0,0.0,0.0,0.11764705882352941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALL_137_SPA_HT2_S059,0.6428571428571429,0.0,0.5333333333333333,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.13333333333333333,0.13333333333333333,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.0
ALL_137_SPA_HT2_S060,0.9333333333333333,0.06666666666666667,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.13333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.26666666666666666,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.0
ALL_138_SPA_HT2_S046,0.6666666666666666,0.5,0.5,0.0625,0.0625,0.0625,0.0625,0.0625,0.13333333333333333,0.0625,0.0625,0.1875,0.0625,0.0625,0.0,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.125,0.0625,0.125,0.125,0.0625,0.125,0.0625
ALL_138_SPA_HT2_S047,0.5,0.5,0.7857142857142857,0.2857142857142857,0.0,0.0,0.0,0.07142857142857142,0.21428571428571427,0.0,0.0,0.6428571428571429,0.0,0.21428571428571427,0.5714285714285714,0.35714285714285715,0.0,0.14285714285714285,0.35714285714285715,0.2857142857142857,0.0,0.0,0.0,0.07142857142857142,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285
ALL_138_SPA_HT2_S048,0.9444444444444444,0.5263157894736842,0.7894736842105263,0.10526315789473684,0.15789473684210525,0.0,0.2631578947368421,0.10526315789473684,0.2777777777777778,0.05263157894736842,0.15789473684210525,0.15789473684210525,0.15789473684210525,0.10526315789473684,0.10526315789473684,0.631578947368421,0.10526315789473684,0.0,0.42105263157894735,0.5789473684210527,0.3157894736842105,0.05263157894736842,0.5263157894736842,0.2631578947368421,0.3157894736842105,0.05263157894736842,0.21052631578947367,0.21052631578947367
ALL_138_SPA_HT2_S049,0.6875,0.3125,0.4375,0.0,0.0,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.0,0.0625,0.0,0.0625,0.0
ALL_138_SPA_HT2_S050,0.375,0.058823529411764705,0.47058823529411764,0.0,0.0,0.0,0.0,0.0,0.0625,0.0,0.0,0.17647058823529413,0.0,0.0,0.0,0.17647058823529413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058823529411764705,0.0,0.0,0.0
